paper_id,title,year,venue,topic,category,matched_keyword,period
neurips_2011_0013,Contextual Gaussian Process Bandit Optimization.,2011,NeurIPS,Optimization & Learning Theory,Core ML,optimization,2010-2014
neurips_2011_0013,Contextual Gaussian Process Bandit Optimization.,2011,NeurIPS,Reinforcement Learning & Bandits,Decision Making,bandit,2010-2014
neurips_2011_0014,Continuous-Time Regression Models for Longitudinal Networks.,2011,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2011_0015,Data Skeletonization via Reeb Graphs.,2011,NeurIPS,Graph Machine Learning,Structured Learning,graph,2010-2014
neurips_2011_0016,Directed Graph Embedding: an Algorithm based on Continuous Limits of Laplacian-type Operators.,2011,NeurIPS,Representation Learning,Foundation Learning,embedding,2010-2014
neurips_2011_0016,Directed Graph Embedding: an Algorithm based on Continuous Limits of Laplacian-type Operators.,2011,NeurIPS,Graph Machine Learning,Structured Learning,graph,2010-2014
neurips_2011_0018,Expressive Power and Approximation Errors of Restricted Boltzmann Machines.,2011,NeurIPS,Optimization & Learning Theory,Core ML,approximation,2010-2014
neurips_2011_0020,Higher-Order Correlation Clustering for Image Segmentation.,2011,NeurIPS,Classical Statistical ML,Core ML,clustering,2010-2014
neurips_2011_0020,Higher-Order Correlation Clustering for Image Segmentation.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,image,2010-2014
neurips_2011_0021,How Does the Brain Represent Visual Scenes? A Neuromagnetic Scene Categorization Study.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,visual,2010-2014
neurips_2011_0022,Improved Algorithms for Linear Stochastic Bandits.,2011,NeurIPS,Reinforcement Learning & Bandits,Decision Making,bandit,2010-2014
neurips_2011_0026,Infinite Latent SVM for Classification and Multi-task Learning.,2011,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2011_0026,Infinite Latent SVM for Classification and Multi-task Learning.,2011,NeurIPS,Representation Learning,Foundation Learning,latent,2010-2014
neurips_2011_0027,Learning Probabilistic Non-Linear Latent Variable Models for Tracking Complex Activities.,2011,NeurIPS,Probabilistic Modeling,Core ML,probabilistic,2010-2014
neurips_2011_0027,Learning Probabilistic Non-Linear Latent Variable Models for Tracking Complex Activities.,2011,NeurIPS,Representation Learning,Foundation Learning,latent,2010-2014
neurips_2011_0027,Learning Probabilistic Non-Linear Latent Variable Models for Tracking Complex Activities.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,tracking,2010-2014
neurips_2011_0028,Learning in Hilbert vs. Banach Spaces: A Measure Embedding Viewpoint.,2011,NeurIPS,Representation Learning,Foundation Learning,embedding,2010-2014
neurips_2011_0031,Message-Passing for Approximate MAP Inference with Latent Variables.,2011,NeurIPS,Probabilistic Modeling,Core ML,latent variable,2010-2014
neurips_2011_0031,Message-Passing for Approximate MAP Inference with Latent Variables.,2011,NeurIPS,Representation Learning,Foundation Learning,latent,2010-2014
neurips_2011_0032,Monte Carlo Value Iteration with Macro-Actions.,2011,NeurIPS,Probabilistic Modeling,Core ML,monte carlo,2010-2014
neurips_2011_0034,Neuronal Adaptation for Sampling-Based Probabilistic Inference in Perceptual Bistability.,2011,NeurIPS,Probabilistic Modeling,Core ML,probabilistic,2010-2014
neurips_2011_0035,Non-Asymptotic Analysis of Stochastic Approximation Algorithms for Machine Learning.,2011,NeurIPS,Optimization & Learning Theory,Core ML,approximation,2010-2014
neurips_2011_0036,Nonstandard Interpretations of Probabilistic Programs for Efficient Inference.,2011,NeurIPS,Probabilistic Modeling,Core ML,probabilistic,2010-2014
neurips_2011_0037,On U-processes and clustering performance.,2011,NeurIPS,Classical Statistical ML,Core ML,clustering,2010-2014
neurips_2011_0039,On the Universality of Online Mirror Descent.,2011,NeurIPS,Optimization & Learning Theory,Core ML,mirror descent,2010-2014
neurips_2011_0041,"Online Learning: Stochastic, Constrained, and Smoothed Adversaries.",2011,NeurIPS,Optimization & Learning Theory,Core ML,online learning,2010-2014
neurips_2011_0042,PAC-Bayesian Analysis of Contextual Bandits.,2011,NeurIPS,Reinforcement Learning & Bandits,Decision Making,bandit,2010-2014
neurips_2011_0043,Periodic Finite State Controllers for Efficient POMDP and DEC-POMDP Planning.,2011,NeurIPS,Reinforcement Learning & Bandits,Decision Making,pomdp,2010-2014
neurips_2011_0044,Portmanteau Vocabularies for Multi-Cue Image Representation.,2011,NeurIPS,Representation Learning,Foundation Learning,representations,2010-2014
neurips_2011_0044,Portmanteau Vocabularies for Multi-Cue Image Representation.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,image,2010-2014
neurips_2011_0045,Practical Variational Inference for Neural Networks.,2011,NeurIPS,Probabilistic Modeling,Core ML,variational inference,2010-2014
neurips_2011_0048,Probabilistic Joint Image Segmentation and Labeling.,2011,NeurIPS,Probabilistic Modeling,Core ML,probabilistic,2010-2014
neurips_2011_0048,Probabilistic Joint Image Segmentation and Labeling.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,image,2010-2014
neurips_2011_0049,Pylon Model for Semantic Segmentation.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,semantic segmentation,2010-2014
neurips_2011_0050,Quasi-Newton Methods for Markov Chain Monte Carlo.,2011,NeurIPS,Probabilistic Modeling,Core ML,markov,2010-2014
neurips_2011_0053,Robust Lasso with missing and grossly corrupted observations.,2011,NeurIPS,"Robustness, Privacy & Safety",Trustworthy AI,robust,2010-2014
neurips_2011_0054,Robust Multi-Class Gaussian Process Classification.,2011,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2011_0054,Robust Multi-Class Gaussian Process Classification.,2011,NeurIPS,Probabilistic Modeling,Core ML,gaussian process,2010-2014
neurips_2011_0054,Robust Multi-Class Gaussian Process Classification.,2011,NeurIPS,"Robustness, Privacy & Safety",Trustworthy AI,robust,2010-2014
neurips_2011_0055,Selective Prediction of Financial Trends with Hidden Markov Models.,2011,NeurIPS,Probabilistic Modeling,Core ML,markov,2010-2014
neurips_2011_0056,Simultaneous Sampling and Multi-Structure Fitting with Adaptive Reversible Jump MCMC.,2011,NeurIPS,Probabilistic Modeling,Core ML,sampling,2010-2014
neurips_2011_0058,Spectral Methods for Learning Multivariate Latent Tree Structure.,2011,NeurIPS,Representation Learning,Foundation Learning,latent,2010-2014
neurips_2011_0060,Target Neighbor Consistent Feature Weighting for Nearest Neighbor Classification.,2011,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2011_0060,Target Neighbor Consistent Feature Weighting for Nearest Neighbor Classification.,2011,NeurIPS,Representation Learning,Foundation Learning,feature,2010-2014
neurips_2011_0061,The Fast Convergence of Boosting.,2011,NeurIPS,Optimization & Learning Theory,Core ML,convergence,2010-2014
neurips_2011_0062,The Kernel Beta Process.,2011,NeurIPS,Classical Statistical ML,Core ML,kernel,2010-2014
neurips_2011_0063,The Local Rademacher Complexity of Lp-Norm Multiple Kernel Learning.,2011,NeurIPS,Classical Statistical ML,Core ML,kernel,2010-2014
neurips_2011_0065,Uniqueness of Belief Propagation on Signed Graphs.,2011,NeurIPS,Graph Machine Learning,Structured Learning,graph,2010-2014
neurips_2011_0066,Variance Reduction in Monte-Carlo Tree Search.,2011,NeurIPS,Optimization & Learning Theory,Core ML,variance reduction,2010-2014
neurips_2011_0067,Variational Gaussian Process Dynamical Systems.,2011,NeurIPS,Probabilistic Modeling,Core ML,variational,2010-2014
neurips_2011_0067,Variational Gaussian Process Dynamical Systems.,2011,NeurIPS,"Causality, Dynamics & Scientific ML",Scientific ML,dynamical systems,2010-2014
neurips_2012_0004,A Geometric take on Metric Learning.,2012,NeurIPS,Classical Statistical ML,Core ML,metric learning,2010-2014
neurips_2012_0004,A Geometric take on Metric Learning.,2012,NeurIPS,Representation Learning,Foundation Learning,metric learning,2010-2014
neurips_2012_0006,A Polylog Pivot Steps Simplex Algorithm for Classification.,2012,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2012_0007,A Polynomial-time Form of Robust Regression.,2012,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2012_0007,A Polynomial-time Form of Robust Regression.,2012,NeurIPS,"Robustness, Privacy & Safety",Trustworthy AI,robust,2010-2014
neurips_2012_0008,A Stochastic Gradient Method with an Exponential Convergence Rate for Finite Training Sets.,2012,NeurIPS,Optimization & Learning Theory,Core ML,stochastic gradient,2010-2014
neurips_2012_0009,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes.,2012,NeurIPS,Probabilistic Modeling,Core ML,markov,2010-2014
neurips_2012_0009,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes.,2012,NeurIPS,Reinforcement Learning & Bandits,Decision Making,markov decision process,2010-2014
