topic,category,year,share,prev_avg_share,burst_score
Reinforcement Learning & Bandits,Decision Making,2019,0.11578947368421053,0.09311153278515706,0.022677940899053464
Representation Learning,Foundation Learning,2019,0.11052631578947368,0.08308011806873287,0.027446197720740806
"Robustness, Privacy & Safety",Trustworthy AI,2019,0.08947368421052632,0.04997596457938014,0.03949771963114618
"Biology, Molecules & Health",AI for Science,2020,0.0021929824561403508,0.0071092246745897,-0.004916242218449349
"Causality, Dynamics & Scientific ML",Scientific ML,2020,0.03508771929824561,0.03331126202603282,0.0017764572722127892
Classical Statistical ML,Core ML,2020,0.125,0.11987436332767402,0.0051256366723259755
Computer Vision & 3D Perception,Perception,2020,0.05701754385964912,0.056258630447085456,0.0007589134125636637
Federated & Distributed Learning,Systems for ML,2020,0.02412280701754386,0.01641822297679683,0.007704584040747028
Games & Mechanism Design,Decision Making,2020,0.015350877192982455,0.016383135257498585,-0.0010322580645161297
Generative Models & Diffusion,Generative AI,2020,0.041666666666666664,0.05767289190718732,-0.016006225240520658
Graph Machine Learning,Structured Learning,2020,0.05043859649122807,0.03815619694397284,0.012282399547255227
Language Models & NLP,Generative AI,2020,0.02412280701754386,0.05457441992076967,-0.03045161290322581
Multimodal & Vision-Language,Perception,2020,0.006578947368421052,0.011530277306168646,-0.004951329937747594
Optimization & Learning Theory,Core ML,2020,0.18201754385964913,0.16467289190718734,0.017344651952461793
Probabilistic Modeling,Core ML,2020,0.1162280701754386,0.15143123938879458,-0.03520316921335598
Reinforcement Learning & Bandits,Decision Making,2020,0.13596491228070176,0.10556423316355405,0.030400679117147708
Representation Learning,Foundation Learning,2020,0.1074561403508772,0.0970464063384267,0.010409734012450489
"Robustness, Privacy & Safety",Trustworthy AI,2020,0.07675438596491228,0.06999660441426146,0.006757781550650821
"Biology, Molecules & Health",AI for Science,2021,0.01206896551724138,0.005173552159969817,0.006895413357271563
"Causality, Dynamics & Scientific ML",Scientific ML,2021,0.041379310344827586,0.03700716845878136,0.0043721418860462255
Classical Statistical ML,Core ML,2021,0.10172413793103448,0.12420769666100735,-0.022483558729972875
Computer Vision & 3D Perception,Perception,2021,0.09310344827586207,0.05659781173363517,0.0365056365422269
Federated & Distributed Learning,Systems for ML,2021,0.015517241379310345,0.01645915864931145,-0.0009419172700011053
Games & Mechanism Design,Decision Making,2021,0.008620689655172414,0.016166760988492738,-0.007546071333320324
Generative Models & Diffusion,Generative AI,2021,0.03793103448275862,0.04756178079607621,-0.00963074631331759
Graph Machine Learning,Structured Learning,2021,0.04310344827586207,0.038969062441048856,0.004134385834813216
Language Models & NLP,Generative AI,2021,0.08103448275862069,0.03861535559328429,0.0424191271653364
Multimodal & Vision-Language,Perception,2021,0.006896551724137931,0.008389926428975665,-0.0014933747048377338
Optimization & Learning Theory,Core ML,2021,0.13793103448275862,0.1693454065270704,-0.03141437204431177
Probabilistic Modeling,Core ML,2021,0.11379310344827587,0.14484059611394076,-0.031047492665664894
Reinforcement Learning & Bandits,Decision Making,2021,0.10344827586206896,0.1215525372571213,-0.018104261395052335
Representation Learning,Foundation Learning,2021,0.12931034482758622,0.09819845312205244,0.031111891705533773
"Robustness, Privacy & Safety",Trustworthy AI,2021,0.07413793103448275,0.07691473306923223,-0.002776802034749476
"Biology, Molecules & Health",AI for Science,2022,0.01308139534883721,0.00650836862270619,0.00657302672613102
"Causality, Dynamics & Scientific ML",Scientific ML,2022,0.0436046511627907,0.03601532567049808,0.007589325492292617
Classical Statistical ML,Core ML,2022,0.10901162790697674,0.11241681790683605,-0.0034051899998593094
Computer Vision & 3D Perception,Perception,2022,0.09156976744186046,0.07284734825569672,0.01872241918616374
Federated & Distributed Learning,Systems for ML,2022,0.03197674418604651,0.01759931437789877,0.014377429808147744
Games & Mechanism Design,Decision Making,2022,0.014534883720930232,0.015008066142367412,-0.00047318242143717937
Generative Models & Diffusion,Generative AI,2022,0.0377906976744186,0.04407642669893123,-0.006285729024512625
Graph Machine Learning,Structured Learning,2022,0.05813953488372093,0.042584190360959874,0.015555344522761055
Language Models & NLP,Generative AI,2022,0.059593023255813955,0.050841903609598706,0.00875111964621525
Multimodal & Vision-Language,Perception,2022,0.00872093023255814,0.008000604960677555,0.0007203252718805848
Optimization & Learning Theory,Core ML,2022,0.1511627906976744,0.15752671909659208,-0.006363928398917668
Probabilistic Modeling,Core ML,2022,0.0872093023255814,0.12228775962895745,-0.035078457303376054
Reinforcement Learning & Bandits,Decision Making,2022,0.10319767441860465,0.11840088727566041,-0.015203212857055753
Representation Learning,Foundation Learning,2022,0.11337209302325581,0.11576426698931236,-0.0023921739660565516
"Robustness, Privacy & Safety",Trustworthy AI,2022,0.07703488372093023,0.08012200040330712,-0.003087116682376892
"Biology, Molecules & Health",AI for Science,2023,0.022919179734620022,0.009114447774072979,0.013804731960547044
"Causality, Dynamics & Scientific ML",Scientific ML,2023,0.04221954161640531,0.04002389360195463,0.002195648014450678
