paper_id,title,year,venue,authors,dblp_url,doi
neurips_2022_0030,Accelerated Training of Physics-Informed Neural Networks (PINNs) using Meshless Discretizations.,2022,NeurIPS,Ramansh Sharma; Varun Shankar,https://dblp.org/rec/conf/nips/SharmaS22,
neurips_2022_0036,Additive MIL: Intrinsically Interpretable Multiple Instance Learning for Pathology.,2022,NeurIPS,Syed Ashar Javed; Dinkar Juyal; Harshith Padigela; Amaro Taylor-Weiner; Limin Yu; Aaditya Prakash,https://dblp.org/rec/conf/nips/JavedJPTYP22,
neurips_2022_0037,Addressing Leakage in Concept Bottleneck Models.,2022,NeurIPS,Marton Havasi; Sonali Parbhoo; Finale Doshi-Velez,https://dblp.org/rec/conf/nips/HavasiPD22,
neurips_2022_0046,An Analytical Theory of Curriculum Learning in Teacher-Student Networks.,2022,NeurIPS,Luca Saglietti; Stefano Sarao Mannelli; Andrew M. Saxe,https://dblp.org/rec/conf/nips/SagliettiMS22,
neurips_2022_0052,Approximate Value Equivalence.,2022,NeurIPS,Christopher Grimm; Andr Barreto 0001; Satinder Singh 0001,https://dblp.org/rec/conf/nips/GrimmBS22,
neurips_2022_0058,Augmenting Online Algorithms with $\varepsilon$-Accurate Predictions.,2022,NeurIPS,Anupam Gupta 0001; Debmalya Panigrahi; Bernardo Subercaseaux; Kevin Sun 0001,https://dblp.org/rec/conf/nips/0001PS022,
neurips_2022_0059,AutoWS-Bench-101: Benchmarking Automated Weak Supervision with 100 Labels.,2022,NeurIPS,Nicholas Carl Roberts; Xintong Li 0001; Tzu-Heng Huang; Dyah Adila; Spencer Schoenberg; Cheng-Yu Liu 0002; Lauren Pick; Haotian Ma; Aws Albarghouthi; Frederic Sala,https://dblp.org/rec/conf/nips/RobertsLHASLPMA22,
neurips_2022_0061,Automatic differentiation of nonsmooth iterative algorithms.,2022,NeurIPS,Jrme Bolte; Edouard Pauwels; Samuel Vaiter,https://dblp.org/rec/conf/nips/BoltePV22,
neurips_2022_0062,Autoregressive Search Engines: Generating Substrings as Document Identifiers.,2022,NeurIPS,Michele Bevilacqua; Giuseppe Ottaviano; Patrick Lewis 0001; Scott Yih; Sebastian Riedel 0001; Fabio Petroni,https://dblp.org/rec/conf/nips/BevilacquaOLY0P22,
neurips_2022_0065,BackdoorBench: A Comprehensive Benchmark of Backdoor Learning.,2022,NeurIPS,Baoyuan Wu; Hongrui Chen; Mingda Zhang; Zihao Zhu 0001; Shaokui Wei; Danni Yuan; Chao Shen,https://dblp.org/rec/conf/nips/WuCZZWYS22,
neurips_2022_0069,Benign Overfitting in Two-layer Convolutional Neural Networks.,2022,NeurIPS,Yuan Cao 0006; Zixiang Chen; Misha Belkin; Quanquan Gu,https://dblp.org/rec/conf/nips/0006CBG22,
neurips_2022_0073,Beyond neural scaling laws: beating power law scaling via data pruning.,2022,NeurIPS,Ben Sorscher; Robert Geirhos; Shashank Shekhar; Surya Ganguli; Ari Morcos,https://dblp.org/rec/conf/nips/SorscherGSGM22,
neurips_2022_0080,Breaking Bad: A Dataset for Geometric Fracture and Reassembly.,2022,NeurIPS,Silvia Selln; Yun-Chun Chen; Ziyi Wu 0002; Animesh Garg; Alec Jacobson,https://dblp.org/rec/conf/nips/SellanCWGJ22,
neurips_2022_0088,Calibrated Data-Dependent Constraints with Exact Satisfaction Guarantees.,2022,NeurIPS,Songkai Xue; Yuekai Sun; Mikhail Yurochkin,https://dblp.org/rec/conf/nips/XueSY22,
