source,target,source_topic,target_topic,source_period,target_period,weight,transition_type
Computer Vision & 3D Perception@2010-2014,"Biology, Molecules & Health@2015-2019",Computer Vision & 3D Perception,"Biology, Molecules & Health",2010-2014,2015-2019,203,cooccurrence
Computer Vision & 3D Perception@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Computer Vision & 3D Perception,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,1015,cooccurrence
Computer Vision & 3D Perception@2010-2014,Classical Statistical ML@2015-2019,Computer Vision & 3D Perception,Classical Statistical ML,2010-2014,2015-2019,3683,cooccurrence
Computer Vision & 3D Perception@2010-2014,Federated & Distributed Learning@2015-2019,Computer Vision & 3D Perception,Federated & Distributed Learning,2010-2014,2015-2019,406,cooccurrence
Computer Vision & 3D Perception@2010-2014,Games & Mechanism Design@2015-2019,Computer Vision & 3D Perception,Games & Mechanism Design,2010-2014,2015-2019,406,cooccurrence
Computer Vision & 3D Perception@2010-2014,Generative Models & Diffusion@2015-2019,Computer Vision & 3D Perception,Generative Models & Diffusion,2010-2014,2015-2019,1363,cooccurrence
Computer Vision & 3D Perception@2010-2014,Graph Machine Learning@2015-2019,Computer Vision & 3D Perception,Graph Machine Learning,2010-2014,2015-2019,928,cooccurrence
Computer Vision & 3D Perception@2010-2014,Language Models & NLP@2015-2019,Computer Vision & 3D Perception,Language Models & NLP,2010-2014,2015-2019,1363,cooccurrence
Computer Vision & 3D Perception@2010-2014,Multimodal & Vision-Language@2015-2019,Computer Vision & 3D Perception,Multimodal & Vision-Language,2010-2014,2015-2019,261,cooccurrence
Computer Vision & 3D Perception@2010-2014,Optimization & Learning Theory@2015-2019,Computer Vision & 3D Perception,Optimization & Learning Theory,2010-2014,2015-2019,4698,cooccurrence
Computer Vision & 3D Perception@2010-2014,Probabilistic Modeling@2015-2019,Computer Vision & 3D Perception,Probabilistic Modeling,2010-2014,2015-2019,4524,cooccurrence
Computer Vision & 3D Perception@2010-2014,Reinforcement Learning & Bandits@2015-2019,Computer Vision & 3D Perception,Reinforcement Learning & Bandits,2010-2014,2015-2019,2755,cooccurrence
Computer Vision & 3D Perception@2010-2014,Representation Learning@2015-2019,Computer Vision & 3D Perception,Representation Learning,2010-2014,2015-2019,2581,cooccurrence
Computer Vision & 3D Perception@2010-2014,"Robustness, Privacy & Safety@2015-2019",Computer Vision & 3D Perception,"Robustness, Privacy & Safety",2010-2014,2015-2019,1798,cooccurrence
Federated & Distributed Learning@2010-2014,"Biology, Molecules & Health@2015-2019",Federated & Distributed Learning,"Biology, Molecules & Health",2010-2014,2015-2019,56,cooccurrence
Federated & Distributed Learning@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Federated & Distributed Learning,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,280,cooccurrence
Federated & Distributed Learning@2010-2014,Classical Statistical ML@2015-2019,Federated & Distributed Learning,Classical Statistical ML,2010-2014,2015-2019,1016,cooccurrence
Federated & Distributed Learning@2010-2014,Computer Vision & 3D Perception@2015-2019,Federated & Distributed Learning,Computer Vision & 3D Perception,2010-2014,2015-2019,416,cooccurrence
Federated & Distributed Learning@2010-2014,Games & Mechanism Design@2015-2019,Federated & Distributed Learning,Games & Mechanism Design,2010-2014,2015-2019,112,cooccurrence
Federated & Distributed Learning@2010-2014,Generative Models & Diffusion@2015-2019,Federated & Distributed Learning,Generative Models & Diffusion,2010-2014,2015-2019,376,cooccurrence
Federated & Distributed Learning@2010-2014,Graph Machine Learning@2015-2019,Federated & Distributed Learning,Graph Machine Learning,2010-2014,2015-2019,256,cooccurrence
Federated & Distributed Learning@2010-2014,Language Models & NLP@2015-2019,Federated & Distributed Learning,Language Models & NLP,2010-2014,2015-2019,376,cooccurrence
Federated & Distributed Learning@2010-2014,Multimodal & Vision-Language@2015-2019,Federated & Distributed Learning,Multimodal & Vision-Language,2010-2014,2015-2019,72,cooccurrence
Federated & Distributed Learning@2010-2014,Optimization & Learning Theory@2015-2019,Federated & Distributed Learning,Optimization & Learning Theory,2010-2014,2015-2019,1296,cooccurrence
Federated & Distributed Learning@2010-2014,Probabilistic Modeling@2015-2019,Federated & Distributed Learning,Probabilistic Modeling,2010-2014,2015-2019,1248,cooccurrence
Federated & Distributed Learning@2010-2014,Reinforcement Learning & Bandits@2015-2019,Federated & Distributed Learning,Reinforcement Learning & Bandits,2010-2014,2015-2019,760,cooccurrence
Federated & Distributed Learning@2010-2014,Representation Learning@2015-2019,Federated & Distributed Learning,Representation Learning,2010-2014,2015-2019,712,cooccurrence
Federated & Distributed Learning@2010-2014,"Robustness, Privacy & Safety@2015-2019",Federated & Distributed Learning,"Robustness, Privacy & Safety",2010-2014,2015-2019,496,cooccurrence
Games & Mechanism Design@2010-2014,"Biology, Molecules & Health@2015-2019",Games & Mechanism Design,"Biology, Molecules & Health",2010-2014,2015-2019,21,cooccurrence
Games & Mechanism Design@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Games & Mechanism Design,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,105,cooccurrence
Games & Mechanism Design@2010-2014,Classical Statistical ML@2015-2019,Games & Mechanism Design,Classical Statistical ML,2010-2014,2015-2019,381,cooccurrence
Games & Mechanism Design@2010-2014,Computer Vision & 3D Perception@2015-2019,Games & Mechanism Design,Computer Vision & 3D Perception,2010-2014,2015-2019,156,cooccurrence
Games & Mechanism Design@2010-2014,Federated & Distributed Learning@2015-2019,Games & Mechanism Design,Federated & Distributed Learning,2010-2014,2015-2019,42,cooccurrence
Games & Mechanism Design@2010-2014,Generative Models & Diffusion@2015-2019,Games & Mechanism Design,Generative Models & Diffusion,2010-2014,2015-2019,141,cooccurrence
Games & Mechanism Design@2010-2014,Graph Machine Learning@2015-2019,Games & Mechanism Design,Graph Machine Learning,2010-2014,2015-2019,96,cooccurrence
Games & Mechanism Design@2010-2014,Language Models & NLP@2015-2019,Games & Mechanism Design,Language Models & NLP,2010-2014,2015-2019,141,cooccurrence
Games & Mechanism Design@2010-2014,Multimodal & Vision-Language@2015-2019,Games & Mechanism Design,Multimodal & Vision-Language,2010-2014,2015-2019,27,cooccurrence
Games & Mechanism Design@2010-2014,Optimization & Learning Theory@2015-2019,Games & Mechanism Design,Optimization & Learning Theory,2010-2014,2015-2019,486,cooccurrence
Games & Mechanism Design@2010-2014,Probabilistic Modeling@2015-2019,Games & Mechanism Design,Probabilistic Modeling,2010-2014,2015-2019,468,cooccurrence
Games & Mechanism Design@2010-2014,Reinforcement Learning & Bandits@2015-2019,Games & Mechanism Design,Reinforcement Learning & Bandits,2010-2014,2015-2019,285,cooccurrence
Games & Mechanism Design@2010-2014,Representation Learning@2015-2019,Games & Mechanism Design,Representation Learning,2010-2014,2015-2019,267,cooccurrence
Games & Mechanism Design@2010-2014,"Robustness, Privacy & Safety@2015-2019",Games & Mechanism Design,"Robustness, Privacy & Safety",2010-2014,2015-2019,186,cooccurrence
