topic,category,year,count,total_papers,share
Federated & Distributed Learning,Systems for ML,2020,11,456,0.02412280701754386
Games & Mechanism Design,Decision Making,2020,7,456,0.015350877192982455
Generative Models & Diffusion,Generative AI,2020,19,456,0.041666666666666664
Graph Machine Learning,Structured Learning,2020,23,456,0.05043859649122807
Language Models & NLP,Generative AI,2020,11,456,0.02412280701754386
Multimodal & Vision-Language,Perception,2020,3,456,0.006578947368421052
Optimization & Learning Theory,Core ML,2020,83,456,0.18201754385964913
Probabilistic Modeling,Core ML,2020,53,456,0.1162280701754386
Reinforcement Learning & Bandits,Decision Making,2020,62,456,0.13596491228070176
Representation Learning,Foundation Learning,2020,49,456,0.1074561403508772
"Robustness, Privacy & Safety",Trustworthy AI,2020,35,456,0.07675438596491228
"Biology, Molecules & Health",AI for Science,2021,7,580,0.01206896551724138
"Causality, Dynamics & Scientific ML",Scientific ML,2021,24,580,0.041379310344827586
Classical Statistical ML,Core ML,2021,59,580,0.10172413793103448
Computer Vision & 3D Perception,Perception,2021,54,580,0.09310344827586207
Federated & Distributed Learning,Systems for ML,2021,9,580,0.015517241379310345
Games & Mechanism Design,Decision Making,2021,5,580,0.008620689655172414
Generative Models & Diffusion,Generative AI,2021,22,580,0.03793103448275862
Graph Machine Learning,Structured Learning,2021,25,580,0.04310344827586207
Language Models & NLP,Generative AI,2021,47,580,0.08103448275862069
Multimodal & Vision-Language,Perception,2021,4,580,0.006896551724137931
Optimization & Learning Theory,Core ML,2021,80,580,0.13793103448275862
Probabilistic Modeling,Core ML,2021,66,580,0.11379310344827587
Reinforcement Learning & Bandits,Decision Making,2021,60,580,0.10344827586206896
Representation Learning,Foundation Learning,2021,75,580,0.12931034482758622
"Robustness, Privacy & Safety",Trustworthy AI,2021,43,580,0.07413793103448275
"Biology, Molecules & Health",AI for Science,2022,9,688,0.01308139534883721
"Causality, Dynamics & Scientific ML",Scientific ML,2022,30,688,0.0436046511627907
Classical Statistical ML,Core ML,2022,75,688,0.10901162790697674
Computer Vision & 3D Perception,Perception,2022,63,688,0.09156976744186046
Federated & Distributed Learning,Systems for ML,2022,22,688,0.03197674418604651
Games & Mechanism Design,Decision Making,2022,10,688,0.014534883720930232
Generative Models & Diffusion,Generative AI,2022,26,688,0.0377906976744186
Graph Machine Learning,Structured Learning,2022,40,688,0.05813953488372093
Language Models & NLP,Generative AI,2022,41,688,0.059593023255813955
Multimodal & Vision-Language,Perception,2022,6,688,0.00872093023255814
Optimization & Learning Theory,Core ML,2022,104,688,0.1511627906976744
Probabilistic Modeling,Core ML,2022,60,688,0.0872093023255814
Reinforcement Learning & Bandits,Decision Making,2022,71,688,0.10319767441860465
Representation Learning,Foundation Learning,2022,78,688,0.11337209302325581
