topic,category,year,share,prev_avg_share,burst_score
Information Retrieval,Applications,2018,0.06637168141592921,0.08594981338903325,-0.01957813197310404
ML for DB,AI for Data Systems,2018,0.09734513274336283,0.08063297954160899,0.016712153201753843
Privacy / Security,Trust,2018,0.022123893805309734,0.018147774836260008,0.003976118969049727
Query Optimization,Query Processing,2018,0.0752212389380531,0.10544742104453565,-0.03022618210648255
RDF / Semantic Web,Data Models,2018,0.030973451327433628,0.024768051878658343,0.006205399448775285
Spatial / Temporal,Specialized Data,2018,0.084070796460177,0.05431642095548054,0.029754375504696458
Streaming,Data Processing,2018,0.04424778761061947,0.04460350229519345,-0.00035571468457398087
Transactions,Systems,2018,0.017699115044247787,0.016476736372541875,0.0012223786717059128
Vector Search,AI for Data Systems,2018,0.01327433628318584,0.006548506707470106,0.006725829575715735
XML,Data Models,2018,0.004424778761061947,,
Cloud DB,Systems,2019,0.03125,0.012111120520528998,0.019138879479471002
Crowdsourcing,Applications,2019,0.022321428571428572,0.02049265359698522,0.0018287749744433507
Data Analytics,Applications,2019,0.16964285714285715,0.18589906987904192,-0.016256212736184772
Data Integration,Data Processing,2019,0.049107142857142856,0.0269440092588672,0.022163133598275656
Distributed DB,Systems,2019,0.08035714285714286,0.104299163032279,-0.023942020175136136
Graph Data,Data Models,2019,0.14732142857142858,0.12524706779015118,0.02207436078127739
Indexing,Storage & Access,2019,0.05803571428571429,0.05802571593908343,9.998346630860078e-06
Information Retrieval,Applications,2019,0.0625,0.0793089017797914,-0.0168089017797914
ML for DB,AI for Data Systems,2019,0.12053571428571429,0.0910847412174846,0.02945097306822969
Privacy / Security,Trust,2019,0.026785714285714284,0.018754216595390324,0.00803149769032396
Query Optimization,Query Processing,2019,0.10267857142857142,0.10175636194266842,0.0009222094859030056
RDF / Semantic Web,Data Models,2019,0.026785714285714284,0.026632298767836727,0.0001534155178775573
Spatial / Temporal,Specialized Data,2019,0.017857142857142856,0.07049568813425358,-0.052638545277110725
Streaming,Data Processing,2019,0.03571428571428571,0.04750843319078065,-0.011794147476494939
